LAST NAME        FIRST NAME       ACCOUNT NUMBER      STREET ADDRESS      UNITS USED
Booth            Teresa           398552              851 Harris Cent     018404
Brunson          William          815544              1562 Johns Fore     020137
Burris           Leland           688273              029 Michael Cau     012887
Schroth          Jody             589197              227 Laura Grove     014483
Mondragon        Ashley           637984              54367 Scott Inl     004144
Malan            Carrie           742167              789 Christian S     003083
Shaw             Paulina          716558              629 Todd Wells      004413
Wilson           Stephanie        144354              695 Rogers Heig     018279
Garvey           Kenneth          384380              799 Sandra Shor     001035
Bissonnette      Maude            818698              53363 Dylan Gro     009873
Benson           Patricia         233136              68149 Cruz Gate     006675
Jefferson        Mark             722484              95161 Jeffrey P     015859
Wright           John             206919              13644 Reyes Spr     008437
Graves           Hope             233143              35008 Rebecca C     012891
Halford          Arthur           807728              19185 Kim Missi     066288
Honor            Pasquale         765502              7644 Mark Cliff     014238
Vizza            Becky            871425              4818 Jesse Exte     000235
Pape             Wanda            152062              8495 Kimberly F     000013
Molina           Sallie           203636              778 Bridges Fal     047359
Johnson          Daniel           590606              4647 Garrett Gl     019039
Wampler          Susan            965513              47201 Jason Sta     041266
Smith            Andrew           469718              77311 Davis Pla     053195
Rasmussen        Doris            660841              04480 Alicia Pi     010084
Monton           Edith            723395              97558 Heather R     013005
Brookens         Connie           565727              35907 Michael W     001395
Young            Gordon           266390              00830 Murphy La     001441
Free             Emily            837021              5924 William Po     001404
Crawford         John             381386              564 Dillon Stra     006851
Ledbetter        Brenda           120995              92886 Brown Cir     000628
Pacheco          Victor           944542              9417 Sheila Dam     004244
Nowden           Dora             903715              707 Rose Spring     034075
Hardesty         Eunice           107070              495 Paula Rapid     004912
Ireland          Freddie          535436              032 Alvarado Ra     048105
Bruce            Nancy            124445              7634 Melissa Vi     016176
Jones            Charlotte        465368              8229 Hernandez      014305
Kimmell          Harold           745531              2113 Deborah Ro     000112
Willard          William          365612              9107 Brian Orch     014081
Hams             Hilary           893175              47278 Timothy R     062261
Lockett          Timothy          463102              7997 Wayne Cove     042709
Teig             Graciela         423450              9409 Johnson Pa     005193
Davies           Mary             914508              7869 Kevin Mead     032376
Mclaughlin       Ernest           877758              22742 Marshall      001164
Gallegos         Maria            227952              3271 David Lock     016604
Hunter           Janet            994042              268 Alejandro L     012937
Bridges          Ann              941703              664 Lewis Strea     008477
Jackson          Samuel           538595              69527 Sara Circ     036689
Matten           Amy              927895              50281 Timothy R     004230
Charles          Kenton           109419              77291 Anthony P     000842
Roane            Leroy            105930              9758 Kelly Isle     033495
Sinisi           Martha           286200              159 Matthew Por     008321
Mcdill           Irene            543294              74621 Tyler Gle     015338
Reeves           Luis             572864              677 Stephanie B     052287
Jagger           Micheal          640071              704 Cook Light      011969
Brown            Curtis           568067              5016 Troy Missi     002208
Joyce            Enrique          545660              693 Kenneth Pra     017090
Maguire          Arlene           468864              139 Howard Esta     008703
Cramer           Chris            921627              217 Pamela Ligh     058828
Giannavola       Charlene         938162              90215 Thomas Lo     006573
Anthony          Bernice          375542              08305 Levine Pl     044740
Rice             Clinton          803616              2962 Tyler Road     000030
Jones            Toni             484424              634 Jamie Traff     031754
York             Tommy            166848              32965 Lisa Spur     005637
Tockey           Kevin            154574              253 Megan Club      000381
Lambert          James            451306              91329 Thomas St     029841
Woodruff         Toni             136282              42189 Taylor Ov     003835
Cummings         Eric             313060              86508 Farrell E     033134
Barker           Robert           345513              34366 Angela Tr     006292
Haskins          Sallie           282300              7120 Rhodes Rap     001778
Deville          Dorothy          474685              186 Sandra Pine     007120
Meacham          Glenda           969878              0452 Molina Jun     036473
Reaves           Linda            563715              72272 Lynch Mis     002121
Williams         Derrick          980414              542 Fletcher Li     007295
Baker            Bill             375309              6484 Tammy Exte     003648
Hurlbut          Sara             279508              019 Kelly Path      011400
Hall             John             881889              446 Russell Mou     003426
Figueroa         Darren           117151              24088 Garcia Sh     055421
Perry            Donald           612771              360 Espinoza Ga     051423
Smith            Traci            635824              015 Lisa Landin     039882
Broughton        Daniel           244495              931 Nunez Drive     000045
Nazario          Dan              886190              738 Lang Orchar     019599
Goodin           Margarita        403369              9300 Gabrielle      078205
Fontenot         Jose             815377              51437 Jasmin In     050934
Strayhorn        Debra            512702              5590 Bell Highw     000277
Houston          Wilfredo         673191              9049 Wright Pla     014532
Campbell         Caroline         985839              27658 Michael F     000574
Tucker           William          688971              968 White Villa     048280
Ducharme         Gwendolyn        907681              02684 James Bra     001235
Junes            Sally            686089              41010 Shaun Str     022415
Nickerson        Henry            971053              3243 Freeman Mi     000507
Mathews          Thomas           856143              899 Richard Cov     026234
Hurd             Katherine        194905              6432 Kathy Cape     012359
Goldstein        Annie            994892              61107 Wade Flat     032381
Werner           Carmella         362026              895 Courtney Sp     003740
Russell          Marilyn          551721              586 Randall Rid     010986
Harne            Eric             408559              38637 Rodriguez     021065
Garcia           Janice           794473              116 Anderson Ga     014762
Hollingswort     Marc             623165              98431 Collins W     023389
Mcgowan          Joyce            143559              5412 Williams H     015081
Kilcoyne         Erick            185461              7841 Hunt Villa     020558
Lee              Willene          844105              103 Guerrero Ri     018503
Bassetti         Terry            998225              88786 Andrew Ro     020614
Huland           Robert           612447              7922 Craig Shor     002903
Hitt             David            472739              0248 Kim Villag     025441
Bolton           Hilda            580062              8526 Andrew For     055899
Greenberg        Tommie           823583              8189 Martin Cov     040439
Nims             Mariam           161090              251 Stevenson R     029098
Gipson           Kenneth          620132              05528 Wong Walk     030568
Brewster         Arleen           398663              21437 Mark Cent     003978
Hodge            Emily            792259              0037 Leonard Br     000098
Oneal            Angela           307737              6764 Cristina C     010827
Mendoza          Jeanette         899519              968 Ward Summit     012958
Greenwood        Robert           365488              0404 Frederick      001065
Bradbury         Steven           253348              76994 Mary Driv     007594
Armstrong        Catherine        399254              788 Gross Stati     044022
Noland           Nellie           226659              44939 Tracy Pra     041327
Wells            Corey            641078              2687 Gary Union     002054
Horton           Jeffrey          931345              0943 Kathleen B     000247
Jones            Paulina          455345              7846 Quinn Plai     057247
Stoddard         Jim              372245              26981 Brown Loa     050532
Lopes            Clyde            482000              872 Shawn Run A     040428
Tucker           Phillip          600329              86682 Bowman Co     003768
Little           Phillip          840905              82644 Stone Pin     049356
Manley           Patricia         752175              5231 Gonzales C     012165
Moua             Brian            258845              24695 Ferguson      076514
Canter           Carol            587521              46809 Anna Have     020265
Heitmeyer        Alma             954633              53758 Walter Cr     022743
Masser           Frederick        877713              2749 Ashley Pin     002998
Walker           Michelle         631813              62318 Chambers      003988
Hickman          Desiree          773230              9351 Johnson Fl     035828
Robles           Donald           968204              6688 Teresa Vis     018724
Petrulis         Patricia         681031              676 April Pine      016567
Lagunas          Dean             796354              1922 Thomas Vis     029188
Toney            Andrew           376291              030 White Traff     031483
Caras            Robert           753515              843 John Prairi     022786
Dillahunt        Verona           903342              149 David Path      043756
Lowrie           Ruth             672620              7188 Melinda Mo     013103
Post             Clinton          242992              5001 Wilcox Uni     009465
Deremer          Danielle         983079              32281 Miller Cr     019655
Morse            Pablo            639915              679 Roberto Bur     044752
Vincente         Caroline         462231              001 Andre Prair     000010
Quintana         Anthony          443020              710 Adam Hollow     001018
Reed             Gloria           676715              478 Berry Fall      025579
Brown            Harold           819791              1449 Johnson Sh     010217
Garrett          Renee            364365              74720 Bender Th     000102
Forbes           Marshall         396970              296 Sharon Lodg     051168
Nahhas           Anna             611807              29583 Christina     025144
Williams         Bridget          146641              218 Jay Lakes       043767
Heidler          Catherine        875655              081 Robyn Mount     002136
Canady           Chris            743877              0035 Villa Glen     000440
Tobin            Robert           426395              1652 Williams I     019880
Menden           Trudie           413899              48612 Walker Lo     032364
Haugabrook       Julia            903815              8993 Manuel Gat     028121
Edwards          Sergio           466825              5863 Malone Vie     012489
Atkinson         Ramona           663055              0322 Steven Orc     013759
Mitchel          Monica           864248              9351 Hayden Pla     001115
Pace             Louis            722688              988 Williams Ro     005351
Hernandez        Nita             471006              244 Russell Pra     012932
Gaskin           Melvin           768528              7000 Lee Haven      001238
Mullins          Mildred          721226              550 Tammy Exten     004420
Dunn             Norman           570860              1191 Rasmussen      000438
Spry             Jeff             492781              088 Jennifer Gr     000575
Bauer            Arnold           522718              141 David Circl     004564
Saavedra         Lee              509786              37068 Timothy G     027373
Ryan             Dianne           480019              805 Miller Shor     003943
Yang             Emma             991199              38575 Justin Vi     053764
Rowe             Linda            819184              513 Golden Cour     006145
Courter          Victoria         412272              6169 Green Burg     057178
Geesey           Russell          437755              7702 Fleming Su     008952
Ballard          Elvis            175790              38760 Jennifer      003023
Western          Gary             662194              77703 Candace S     030515
Appell           Mario            833281              231 Mcclure Ter     023000
Causey           Shawn            470686              206 Heather Rad     061945
Bennett          Melody           549462              8750 Anderson L     014483
Roeder           Patrick          946429              0911 John Fores     028370
Ogawa            Paul             216436              720 Holmes Spur     011557
Webb             Allen            906703              309 Robert Pine     040177
Cassel           James            236082              9429 Chapman Me     056070
Pfeifer          Michael          577832              39505 Kim Traff     054375
Atkins           Clara            394131              4882 Leslie Mil     000695
Ebert            Tony             525285              65045 Daniel Fo     005978
Thompson         Ray              831375              46018 Christoph     058398
Eshom            Angelika         325829              508 Richard Sum     005841
Matheis          Ernest           618019              70033 Aaron Ext     015879
Llewellyn        William          123976              4619 James Terr     016889
Gooch            James            363543              9901 Hughes Spr     023947
Rivera           Sean             825646              656 Brian Junct     000425
Patterson        Michael          969851              44753 Barton Kn     033365
Miller           Cynthia          308301              844 Rachael Fie     046168
Glass            Oliver           366608              498 Wang Ports      022487
Morales          Chris            827628              297 Regina Pass     040879
South            Richard          715986              1556 Nancy Viad     017481
Watts            Joshua           668195              590 Michael Fla     025144
Bittner          Arlinda          970118              23794 Mclaughli     030853
Mccool           Melvin           189665              698 Regina Wall     000099
York             Emily            374881              9650 Dale Bypas     025130
Mcdaniel         Andria           458676              95188 Ryan Rive     017482
Lynch            Josiah           815033              3741 Paul Radia     004227
Olguin           Pauline          620657              49311 Jones Gle     007783
Ruiz             Carolyn          671629              84507 Gordon Ex     031568
Beauvais         Barbara          525871              8363 James Port     038017
Pannell          Sook             323522              32885 Johnny Kn     005648
Somerville       Stephen          846841              4184 Williams F     013633
Spears           April            351403              7212 Catherine      007096
Smathers         Evelia           973589              1841 Dennis Kno     034848
Kestner          Laura            361719              064 Brian Highw     027577
Young            Roland           149417              8183 Johnson Fi     047340
Erickson         Richard          997908              716 Pham Extens     071180
Crothers         Daniel           337729              7615 Stephen Ke     012764
Major            Karen            518570              21764 Kevin Rad     023913
Began            Robert           536725              7295 Nicholas C     023992
Siler            Landon           496941              821 Kathy Cente     024312
Bierman          Guadalupe        864326              984 Richardson      073649
Tejada           Melisa           716910              7071 Samantha F     010625
Larson           Ruth             327483              305 Davis Stree     001489
Marin            Joyce            344194              668 Bush Trace      014697
Shankle          Emma             178017              080 Andrew Fiel     000332
Goldenberg       Dorthy           657903              040 Nguyen Mill     054727
Robinson         Marie            175035              2705 Brock Vill     011946
Eiche            James            176944              7143 Miller Mew     000336
Houston          Andrew           843173              877 William Ext     000367
Mitchell         Robert           631315              04851 Regina Ex     010938
Kocon            Michele          694943              165 Jason Lane      047762
Deitz            Brittney         358173              5072 Matthew Tu     007935
Gruis            William          283564              62043 Dennis Es     061060
Martin           Helen            938882              190 James Trail     015567
Jarrett          Donald           885747              04978 Meghan St     000232
Defir            Julia            489951              3970 Clark Viad     000880
Moore            Kathryn          178386              705 Garcia Free     010010
Carbone          Jan              399654              4475 Roberts Vi     000341
Meeks            Mildred          845485              99290 Mitchell      033232
Flight           Michael          801778              5879 Johnson Co     011028
Duncan           Robert           779121              8884 Robert Lak     009458
Neer             Christopher      251267              15776 Mary Road     012501
Owen             Tessa            978881              92494 Miller Di     001951
Hollis           Maria            671920              345 Jane Key Su     011653
Kluender         Stephen          394365              558 Donald Ranc     000428
Rico             Candyce          280009              333 Malone Park     003235
Ketchum          Adeline          659944              20825 Nicholas      004050
Tyler            Mildred          348901              6960 Ashley Pla     003537
Anderson         Pat              374169              759 Rich Estate     014814
Barnes           Mary             893214              9941 Christophe     007632
Arce             Dora             477936              3179 Jessica Lo     000390
Cooksey          Heather          750736              468 Steven Fore     050945
Smith            Charles          229189              4180 Walker All     003914
Dunn             David            606369              9817 Lewis Moun     051486
Palmer           Antonia          592343              752 Andrew Loop     002803
Welton           Annie            759187              84629 Carol Por     000082
Mendoza          Jonnie           499837              99632 Robert Mi     009793
Thompson         Doris            449936              74181 Green Dam     019685
Sharp            Adolph           214743              5433 Theresa Vi     038605
Dankert          Keith            608865              63628 Julie Loc     004747
Greeley          Donna            153767              508 Laura Wells     030191
Bonneville       Max              467425              389 Clark Squar     000944
Welch            Bret             142582              33015 Harris Ro     027477
Armstrong        Richard          259046              5902 Coleman Sh     020675
Gilbreath        Renata           990560              79513 Willie Wa     040210
Kalish           David            818984              7533 Brittney C     006442
Davis            Sandra           646155              7916 Butler Cov     016094
Kellogg          Tracey           475554              959 Brenda Vill     019119
Meehan           Chelsea          240746              20459 Mooney Vi     008858
Zirin            Minerva          804078              98151 Valerie V     039616
Lattimore        Mark             114364              964 Gregory Isl     003927
Walker           Evelyn           414700              3267 Robert Isl     006077
Mccullough       Gary             268040              80654 Heather W     025815
Heacock          Bonnie           858182              89317 Melissa S     023764
Cadwallader      Ricky            703159              33442 Susan Cam     071841
Garrett          Shannon          738793              660 Stewart Mou     055381
Barber           Barbara          135111              889 Dean Isle       049985
Sayavong         Lana             421167              929 Donald Corn     041189
Mills            Terry            603307              9500 Ware Prair     000747
Anderson         Chester          367096              435 Robert Ligh     028046
Jackson          Brenda           482898              6847 Torres Por     050125
Hisaw            Warren           642368              17648 Wood Unde     023290
Livoti           Michele          266400              9120 Teresa Loo     025321
Bynum            Lydia            488146              9203 Myers Way      008004
Manylath         Marie            837137              6618 Baker Moun     000148
Reeves           Claire           450345              083 Adams Sprin     015550
Ratliff          Darlene          352484              16968 Kelly Spr     022540
Toth             Hattie           723875              6892 Samantha B     021350
Creech           Robert           330141              322 Bradshaw Su     013658
Sowinski         Anna             873037              66762 Acosta Tr     055972
Pierce           Candice          481628              7703 Sheppard R     040505
Fry              Susana           338353              28999 Wolf Run      025947
Burton           Maria            756140              067 Mary Corner     031621
Wise             Greg             697961              956 Michael Par     047823
Garcia           Joshua           262298              4368 Kristin Ca     012942
Combs            Andy             677282              092 Joel Rue        003321
Hires            Tommy            803472              75291 Rodriguez     003109
Ogle             Thomas           655329              4809 Potter Wal     036614
Stigers          Joseph           888104              91800 Santiago      021359
Soroka           Kenneth          397474              1299 Gomez Miss     010803
Sears            Angelina         989918              25106 James Pla     033205
Shinn            Adam             306837              32309 Cooper Dr     000073
Kraham           Maria            918962              173 Leah Circle     026767
Barton           Fredrick         540438              86572 Mitchell      001449
Dedic            Judy             646362              39650 Michael S     017200
Yazzie           David            145340              33566 Perkins S     014599
Antolin          Cleo             928344              17651 Gutierrez     003503
Strickland       Lawrence         146060              7728 Catherine      036901
Ness             Kevin            709267              1523 Mary Port      009715
Demski           Maudie           707165              3405 Weeks Park     039881
Averett          Mary             392846              0386 Bryan Alle     007186
Meyers           Mindy            555884              78845 Howard Pa     005907
Perrotti         Marshall         985045              30372 Stephen V     024842
Maez             Ken              913226              646 Paul Park A     080599
Cochran          Willie           385159              096 Pamela Plaz     011594
Sweeney          Thomas           944572              4113 Steven Roa     012590
Demaio           Faye             678356              5688 Lane Flats     011131
Justice          Leana            572869              09047 Medina We     000589
Velasco          Gail             716811              396 Hammond Lak     019722
Dukes            Elmo             322610              542 Travis Cent     002783
Hyden            Michael          973136              9987 Danielle M     034959
Davis            Christina        358606              88050 Campbell      036499
Erickson         Richard          296856              44465 Sharon Tr     003115
Wheaton          Don              138897              51476 Tran Bypa     019246
Clark            Mary             960884              307 Santos Road     006673
Green            Alison           110165              657 Michael Isl     035734
Clay             Dorothy          372680              8818 Edwards Mo     029693
Doty             Helen            701070              284 Gutierrez P     075081
Lajaunie         Richard          665450              34363 Chen Esta     009930
Munoz            Stephen          872578              32716 Kenneth W     003509
Mclaren          Karen            645422              4065 Kevin Park     004965
Edell            John             673422              171 Donna Heigh     001269
Bradford         Caitlin          534658              965 Perez Under     033035
Moseley          Ashleigh         196331              89063 Cindy Roa     009537
Hadlock          Barbara          156728              76060 Love Traf     046050
Ogata            Jessica          634777              72445 James Mew     036522
Johnson          Susan            289675              130 Shane Shoal     002041
Decesare         Loretta          669469              099 David Stree     057462
Inda             Luis             872260              01779 Hurst Tra     011499
Holt             Lori             148377              7383 Michael Po     000009
Jones            Julissa          313032              8216 Campbell L     008831
Baker            Judy             409375              9240 Jessica Br     016230
Lampman          Felton           940469              99823 Joseph Pa     023049
Donley           Fredrick         362810              038 Justin Bypa     033486
Brun             Esther           238548              1353 Malone Hig     023328
Wiggins          Antonia          689433              55816 Jones Cro     004294
Mellon           Debby            227172              913 Perkins Spu     001037
Jones            James            526139              073 Brian Strav     076332
Custodio         Andrea           680868              15961 Erik Vill     021433
Taylor           Christine        124180              97949 Kristina      002183
Davila           Donna            913042              275 Michael Sho     045429
King             Cheryl           959186              19858 Jesse Mea     072895
Robinson         Helen            818943              4204 Morales Pa     000376
Horton           Steven           937982              4904 Espinoza B     013976
Sulla            Patricia         970448              926 Jason Cours     030161
Head             Krystyna         190879              103 Carey Fork      052124
Cornwell         Christopher      568645              8424 Palmer Str     001803
